DatasetSize	Distribution	Parameter	SearchAlgorithm	RecordSizeBytes	#threads
100000000	fal	1.05	tip64	32	1
100000000	fal	1.05	tip128	32	1
100000000	fal	1.05	tip256	32	1
100000000	fal	1.05	tip512	32	1
100000000	fal	1.05	tip1024	32	1
100000000	fal	1.05	tip2048	32	1
100000000	fal	1.05	tip4096	32	1
100000000	fal	1.05	tip8192	32	1
100000000	fal	1.05	tip16384	32	1
100000000	fal	1.05	tip32768	32	1
100000000	fal	1.05	tip65536	32	1
100000000	fal	1.05	tip131072	32	1
100000000	fal	1.05	tip262144	32	1
